ID,Ma,Ten,Ngaytao,Uutien
121,HCL,Hồng cầu lắng,20/05/2022,0
124,HTDL,Huyết tương đông lạnh,20/05/2022,0
123,KTL,Kết tủa lạnh,20/05/2022,0
122,MTP,Máu toàn phần,20/05/2022,0
125,TC,Tiểu cầu,20/05/2022,0
